date,state,fips,cases,deaths
2021-11-1,Alabama,1,832264,15573
2021-11-1,Alaska,2,138503,710
2021-11-1,American Samoa,60,4,0
2021-11-1,Arizona,4,1170990,21155
2021-11-1,Arkansas,5,513352,8384
2021-11-1,California,6,4933895,72289
2021-11-1,Colorado,8,751133,8429
2021-11-1,Connecticut,9,403415,8766
2021-11-1,Delaware,10,144397,2091
2021-11-1,District of Columbia,11,64470,1191
2021-11-1,Florida,12,3650637,59670
2021-11-1,Georgia,13,1600593,28142
2021-11-1,Guam,66,19255,243
2021-11-1,Hawaii,15,81650,913
2021-11-1,Idaho,16,292373,3572
2021-11-1,Illinois,17,1706985,28695
2021-11-1,Indiana,18,1026177,16737
2021-11-1,Iowa,19,486132,6965
2021-11-1,Kansas,20,436923,6447
2021-11-1,Kentucky,21,751089,9893
2021-11-1,Louisiana,22,760000,14555
2021-11-1,Maine,23,104259,1168
2021-11-1,Maryland,24,561949,10908
2021-11-1,Massachusetts,25,855230,19003
2021-11-1,Michigan,26,1283087,23706
2021-11-1,Minnesota,27,798108,8818
2021-11-1,Mississippi,28,504811,10098
2021-11-1,Missouri,29,872696,12779
2021-11-1,Montana,30,177171,2366
2021-11-1,Nebraska,31,285284,2975
2021-11-1,Nevada,32,451500,7656
2021-11-1,New Hampshire,33,136775,1568
2021-11-1,New Jersey,34,1199738,27980
2021-11-1,New Mexico,35,277835,5063
2021-11-1,New York,36,2563625,56044
2021-11-1,North Carolina,37,1484557,18122
2021-11-1,North Dakota,38,148587,1798
2021-11-1,Northern Mariana Islands,69,312,3
2021-11-1,Ohio,39,1547788,24527
2021-11-1,Oklahoma,40,645352,10710
2021-11-1,Oregon,41,367610,4377
2021-11-1,Pennsylvania,42,1564939,31454
2021-11-1,Puerto Rico,72,218481,3234
2021-11-1,Rhode Island,44,179963,2879
2021-11-1,South Carolina,45,899481,13753
2021-11-1,South Dakota,46,154885,2241
2021-11-1,Tennessee,47,1251111,16216
2021-11-1,Texas,48,4233754,71587
2021-11-1,Utah,49,553175,3237
2021-11-1,Vermont,50,40340,368
2021-11-1,Virgin Islands,78,7206,81
2021-11-1,Virginia,51,927999,13984
2021-11-1,Washington,53,732810,8717
2021-11-1,West Virginia,54,273030,4450
2021-11-1,Wisconsin,55,887361,9430
2021-11-1,Wyoming,56,103622,1174
2021-11-2,Alabama,1,833009,15629
2021-11-2,Alaska,2,138996,716
2021-11-2,American Samoa,60,4,0
2021-11-2,Arizona,4,1173340,21149
2021-11-2,Arkansas,5,513993,8412
2021-11-2,California,6,4938058,72365
2021-11-2,Colorado,8,754596,8480
2021-11-2,Connecticut,9,403827,8776
2021-11-2,Delaware,10,144473,2095
2021-11-2,District of Columbia,11,64541,1193
2021-11-2,Florida,12,3652637,59670
2021-11-2,Georgia,13,1601839,28205
2021-11-2,Guam,66,19255,243
2021-11-2,Hawaii,15,81689,913
2021-11-2,Idaho,16,293297,3578
2021-11-2,Illinois,17,1709334,28719
2021-11-2,Indiana,18,1027548,16783
2021-11-2,Iowa,19,488885,6965
2021-11-2,Kansas,20,436931,6449
2021-11-2,Kentucky,21,752269,9913
2021-11-2,Louisiana,22,760246,14565
2021-11-2,Maine,23,105121,1179
2021-11-2,Maryland,24,562431,10913
2021-11-2,Massachusetts,25,856494,19031
2021-11-2,Michigan,26,1283087,23706
2021-11-2,Minnesota,27,805139,8842
2021-11-2,Mississippi,28,505266,10129
2021-11-2,Missouri,29,873952,12904
2021-11-2,Montana,30,178309,2382
2021-11-2,Nebraska,31,286373,2984
2021-11-2,Nevada,32,452450,7668
2021-11-2,New Hampshire,33,137156,1572
2021-11-2,New Jersey,34,1200953,28004
2021-11-2,New Mexico,35,278509,5075
2021-11-2,New York,36,2566536,56067
2021-11-2,North Carolina,37,1485692,18148
2021-11-2,North Dakota,38,149243,1810
2021-11-2,Northern Mariana Islands,69,312,3
2021-11-2,Ohio,39,1551705,24763
2021-11-2,Oklahoma,40,646132,10710
2021-11-2,Oregon,41,368696,4405
2021-11-2,Pennsylvania,42,1571365,31530
2021-11-2,Puerto Rico,72,218496,3234
2021-11-2,Rhode Island,44,180187,2881
2021-11-2,South Carolina,45,899912,13766
2021-11-2,South Dakota,46,155603,2249
2021-11-2,Tennessee,47,1254403,16273
2021-11-2,Texas,48,4238926,71708
2021-11-2,Utah,49,554425,3248
2021-11-2,Vermont,50,40513,369
2021-11-2,Virgin Islands,78,7233,81
2021-11-2,Virginia,51,929244,14020
2021-11-2,Washington,53,734573,8753
2021-11-2,West Virginia,54,273659,4475
2021-11-2,Wisconsin,55,890760,9467
2021-11-2,Wyoming,56,103989,1243
2021-11-3,Alabama,1,833493,15676
2021-11-3,Alaska,2,139668,719
2021-11-3,American Samoa,60,4,0
2021-11-3,Arizona,4,1175520,21273
2021-11-3,Arkansas,5,514539,8434
2021-11-3,California,6,4943059,72471
2021-11-3,Colorado,8,756899,8493
2021-11-3,Connecticut,9,404218,8776
2021-11-3,Delaware,10,144755,2096
2021-11-3,District of Columbia,11,64602,1193
2021-11-3,Florida,12,3654441,59670
2021-11-3,Georgia,13,1603149,28267
2021-11-3,Guam,66,19379,246
2021-11-3,Hawaii,15,81850,916
2021-11-3,Idaho,16,294536,3601
2021-11-3,Illinois,17,1711121,28772
2021-11-3,Indiana,18,1029520,16841
2021-11-3,Iowa,19,491463,7069
2021-11-3,Kansas,20,439174,6477
2021-11-3,Kentucky,21,753847,9932
2021-11-3,Louisiana,22,760691,14585
2021-11-3,Maine,23,105781,1193
2021-11-3,Maryland,24,563127,10925
2021-11-3,Massachusetts,25,857959,19046
